run,model,graph_type,method,Full_Parse_OK,Total_triples_in_KG,Valid_triples,Invalid_triples,Distinct_classes_used,Class_Compliance,Class_Coverage,Distinct_properties_used,Property_Compliance,Property_Coverage
4,llama4-scout,observation,d2kg,True,151,151,0,6,0.8333333333333334,0.5,8,0.625,1.0
4,llama4-scout,observation,d2kg-rag,True,115,115,0,5,1.0,0.5,14,0.07142857142857142,0.3333333333333333
4,llama4-maverick,observation,dpe,True,13,13,0,0,0.0,0.0,4,0.0,0.0
4,llama4-maverick,observation,i2kg,True,75,75,0,4,1.0,0.5,5,0.8,1.0
4,llama4-maverick,observation,d2kg,True,123,123,0,6,0.8333333333333334,0.5,8,0.75,1.0
4,llama4-maverick,observation,d2kg-rag,True,89,89,0,6,0.8333333333333334,0.5,8,0.75,1.0
4,gpt-o1,observation,i2kg,True,126,126,0,5,1.0,0.75,5,0.8,1.0
4,gpt-o1,observation,d2kg,True,110,110,0,6,1.0,0.75,5,0.8,0.6666666666666666
4,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
4,gpt-4.1-nano,observation,i2kg,True,60,60,0,5,1.0,0.75,6,0.6666666666666666,0.6666666666666666
4,gpt-4.1-nano,observation,d2kg,True,108,108,0,6,0.0,0.0,6,0.5,0.6666666666666666
4,gpt-4.1-nano,observation,d2kg-rag,True,63,63,0,13,0.0,0.0,17,0.0,0.0
4,llava-llama3,action,dpe,False,0,0,0,0,0.0,0.0,0,0.0,0.0
4,llava-llama3,action,i2kg,False,0,0,0,0,0.0,0.0,0,0.0,0.0
4,llava-llama3,action,d2kg,True,88,88,0,8,1.0,0.8333333333333334,9,0.8888888888888888,1.0
4,llava-llama3,action,d2kg-rag,True,62,62,0,2,1.0,0.3333333333333333,5,0.6,0.375
4,llama4-scout,action,dpe,True,31,31,0,0,0.0,0.0,12,0.0,0.0
4,llama4-scout,action,i2kg,True,79,79,0,6,1.0,0.6666666666666666,7,0.8571428571428571,0.75
4,llama4-scout,action,d2kg,True,49,49,0,6,1.0,0.8333333333333334,9,0.6666666666666666,0.75
4,llama4-scout,action,d2kg-rag,True,152,152,0,5,1.0,0.6666666666666666,9,0.4444444444444444,0.5
4,llama4-maverick,action,dpe,True,14,14,0,0,0.0,0.0,5,0.0,0.0
4,llama4-maverick,action,i2kg,True,61,61,0,6,1.0,0.8333333333333334,9,0.7777777777777778,0.875
4,llama4-maverick,action,d2kg,True,128,128,0,5,1.0,0.8333333333333334,10,0.8,1.0
4,llama4-maverick,action,d2kg-rag,True,144,144,0,6,1.0,0.8333333333333334,10,0.8,1.0
4,gpt-o1,action,i2kg,True,199,199,0,7,1.0,0.8333333333333334,9,0.8888888888888888,1.0
4,gpt-o1,action,d2kg,True,240,240,0,7,1.0,0.8333333333333334,8,0.875,0.875
4,gpt-o1,action,d2kg-rag,True,102,102,0,3,0.0,0.0,6,0.0,0.0
4,gpt-4.1-nano,action,i2kg,True,69,69,0,3,1.0,0.5,8,0.625,0.625
4,gpt-4.1-nano,action,d2kg,False,35,0,35,0,0.0,0.0,0,0.0,0.0
4,gpt-4.1-nano,action,d2kg-rag,False,15,0,15,0,0.0,0.0,0,0.0,0.0
5,llava-llama3,observation,dpe,True,5,5,0,0,0.0,0.0,5,0.0,0.0
5,llava-llama3,observation,i2kg,False,20,0,20,0,0.0,0.0,0,0.0,0.0
5,llava-llama3,observation,d2kg,True,1,1,0,1,1.0,0.25,1,0.0,0.0
5,llava-llama3,observation,d2kg-rag,True,5,5,0,3,1.0,0.75,3,0.6666666666666666,0.6666666666666666
5,llama4-scout,observation,dpe,True,23,23,0,0,0.0,0.0,11,0.0,0.0
5,llama4-scout,observation,i2kg,True,92,92,0,6,1.0,0.75,9,0.5555555555555556,1.0
5,llama4-scout,observation,d2kg,True,131,131,0,9,0.5555555555555556,0.5,22,0.18181818181818182,0.6666666666666666
5,llama4-scout,observation,d2kg-rag,True,77,77,0,3,1.0,0.75,6,0.6666666666666666,0.6666666666666666
5,llama4-maverick,observation,dpe,True,10,10,0,0,0.0,0.0,5,0.0,0.0
5,llama4-maverick,observation,i2kg,True,91,91,0,5,0.8,0.5,6,0.8333333333333334,1.0
5,llama4-maverick,observation,d2kg,True,115,115,0,6,0.8333333333333334,0.5,6,0.8333333333333334,1.0
5,llama4-maverick,observation,d2kg-rag,True,79,79,0,6,1.0,0.75,5,0.8,1.0
5,gpt-o1,observation,i2kg,True,107,107,0,5,1.0,0.75,5,0.8,1.0
5,gpt-o1,observation,d2kg,True,109,109,0,5,1.0,0.75,5,0.8,0.6666666666666666
5,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
5,gpt-4.1-nano,observation,i2kg,False,41,7,34,0,0.0,0.0,2,0.0,0.0
5,gpt-4.1-nano,observation,d2kg,True,160,160,0,9,0.0,0.0,8,0.25,0.6666666666666666
5,gpt-4.1-nano,observation,d2kg-rag,False,81,80,1,18,0.0,0.0,20,0.0,0.0
5,llava-llama3,action,dpe,True,31,31,0,0,0.0,0.0,4,0.0,0.0
5,llava-llama3,action,i2kg,False,3,0,3,0,0.0,0.0,0,0.0,0.0
5,llava-llama3,action,d2kg,True,63,63,0,7,1.0,0.8333333333333334,9,0.7777777777777778,0.875
5,llava-llama3,action,d2kg-rag,True,38,38,0,4,1.0,0.6666666666666666,9,0.7777777777777778,0.875
5,llama4-scout,action,dpe,True,39,39,0,0,0.0,0.0,8,0.0,0.0
5,llama4-scout,action,i2kg,True,68,68,0,3,1.0,0.5,6,0.8333333333333334,0.625
5,llama4-scout,action,d2kg,True,62,62,0,6,1.0,0.8333333333333334,10,0.7,0.875
5,llama4-scout,action,d2kg-rag,False,21,0,21,0,0.0,0.0,0,0.0,0.0
5,llama4-maverick,action,dpe,True,11,11,0,0,0.0,0.0,6,0.0,0.0
5,llama4-maverick,action,i2kg,True,90,90,0,6,1.0,0.8333333333333334,9,0.7777777777777778,0.875
5,llama4-maverick,action,d2kg,True,221,221,0,7,1.0,0.8333333333333334,10,0.8,1.0
5,llama4-maverick,action,d2kg-rag,True,149,149,0,5,1.0,0.6666666666666666,7,0.5714285714285714,0.5
5,gpt-o1,action,i2kg,True,108,108,0,6,1.0,0.8333333333333334,8,0.875,0.875
5,gpt-o1,action,d2kg,True,186,186,0,7,1.0,0.8333333333333334,8,0.875,0.875
5,gpt-o1,action,d2kg-rag,True,114,114,0,4,0.0,0.0,6,0.0,0.0
5,gpt-4.1-nano,action,i2kg,True,38,38,0,5,1.0,0.6666666666666666,9,0.6666666666666666,0.75
5,gpt-4.1-nano,action,d2kg,False,24,0,24,0,0.0,0.0,0,0.0,0.0
5,gpt-4.1-nano,action,d2kg-rag,False,18,5,13,1,0.0,0.0,2,0.0,0.0
6,llava-llama3,observation,dpe,True,19,19,0,0,0.0,0.0,2,0.0,0.0
6,llava-llama3,observation,i2kg,False,42,10,32,8,0.0,0.0,1,0.0,0.0
6,llava-llama3,observation,d2kg,True,77,77,0,3,1.0,0.75,6,0.6666666666666666,1.0
6,llava-llama3,observation,d2kg-rag,True,76,76,0,2,1.0,0.5,5,0.6,0.6666666666666666
6,llama4-scout,observation,dpe,True,25,25,0,0,0.0,0.0,4,0.0,0.0
6,llama4-scout,observation,i2kg,True,76,76,0,6,1.0,0.75,8,0.375,0.6666666666666666
6,llama4-scout,observation,d2kg,True,156,156,0,7,0.7142857142857143,0.5,6,0.6666666666666666,1.0
6,llama4-scout,observation,d2kg-rag,True,132,132,0,3,0.6666666666666666,0.5,8,0.75,1.0
6,llama4-maverick,observation,dpe,True,24,24,0,0,0.0,0.0,9,0.0,0.0
6,llama4-maverick,observation,i2kg,True,60,60,0,5,0.8,0.5,5,0.8,1.0
6,llama4-maverick,observation,d2kg,True,87,87,0,5,0.8,0.5,8,0.5,1.0
6,llama4-maverick,observation,d2kg-rag,True,75,75,0,7,1.0,0.75,8,0.5,0.6666666666666666
6,gpt-o1,observation,i2kg,True,87,87,0,5,1.0,0.75,5,0.8,1.0
6,gpt-o1,observation,d2kg,True,107,107,0,5,1.0,0.75,5,0.8,0.6666666666666666
6,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
6,gpt-4.1-nano,observation,i2kg,False,36,0,36,0,0.0,0.0,0,0.0,0.0
6,gpt-4.1-nano,observation,d2kg,True,101,101,0,5,0.0,0.0,5,0.4,0.6666666666666666
6,gpt-4.1-nano,observation,d2kg-rag,True,58,58,0,20,0.0,0.0,7,0.0,0.0
6,llava-llama3,action,dpe,True,49,49,0,0,0.0,0.0,7,0.0,0.0
6,llava-llama3,action,i2kg,True,63,63,0,1,0.0,0.0,8,0.0,0.0
6,llava-llama3,action,d2kg,True,85,85,0,6,1.0,0.8333333333333334,9,0.7777777777777778,0.875
6,llava-llama3,action,d2kg-rag,True,80,80,0,4,1.0,0.6666666666666666,9,0.7777777777777778,0.875
6,llama4-scout,action,dpe,True,62,62,0,0,0.0,0.0,11,0.0,0.0
6,llama4-scout,action,i2kg,False,43,0,43,0,0.0,0.0,0,0.0,0.0
6,llama4-scout,action,d2kg,True,140,140,0,6,1.0,0.8333333333333334,9,0.6666666666666666,0.75
6,llama4-scout,action,d2kg-rag,False,27,0,27,0,0.0,0.0,0,0.0,0.0
6,llama4-maverick,action,dpe,True,26,26,0,0,0.0,0.0,13,0.0,0.0
6,llama4-maverick,action,i2kg,True,100,100,0,5,1.0,0.8333333333333334,9,0.7777777777777778,0.875
6,llama4-maverick,action,d2kg,True,76,76,0,8,1.0,0.8333333333333334,9,0.8888888888888888,1.0
6,llama4-maverick,action,d2kg-rag,True,41,41,0,10,1.0,1.0,10,0.8,1.0
6,gpt-o1,action,i2kg,True,134,134,0,7,1.0,0.8333333333333334,8,0.875,0.875
6,gpt-o1,action,d2kg,True,174,174,0,7,1.0,0.8333333333333334,8,0.875,0.875
6,gpt-o1,action,d2kg-rag,True,178,178,0,4,0.0,0.0,6,0.0,0.0
6,gpt-4.1-nano,action,i2kg,False,24,0,24,0,0.0,0.0,0,0.0,0.0
6,gpt-4.1-nano,action,d2kg,True,44,44,0,3,1.0,0.5,8,0.5,0.5
6,gpt-4.1-nano,action,d2kg-rag,True,59,59,0,4,0.0,0.0,18,0.0,0.0
7,llava-llama3,observation,dpe,True,19,19,0,0,0.0,0.0,6,0.0,0.0
7,llava-llama3,observation,i2kg,False,44,0,44,0,0.0,0.0,0,0.0,0.0
7,llava-llama3,observation,d2kg,True,76,76,0,3,1.0,0.75,10,0.5,1.0
7,llava-llama3,observation,d2kg-rag,True,108,108,0,3,1.0,0.75,6,0.6666666666666666,0.6666666666666666
7,llama4-scout,observation,dpe,True,26,26,0,0,0.0,0.0,4,0.0,0.0
7,llama4-scout,observation,i2kg,False,303,0,303,0,0.0,0.0,0,0.0,0.0
7,llama4-scout,observation,d2kg,True,106,106,0,6,0.8333333333333334,0.5,8,0.5,1.0
7,llama4-scout,observation,d2kg-rag,True,119,119,0,3,1.0,0.75,7,0.5714285714285714,0.6666666666666666
7,llama4-maverick,observation,dpe,True,21,21,0,0,0.0,0.0,4,0.0,0.0
7,llama4-maverick,observation,i2kg,True,57,57,0,5,1.0,0.5,6,0.8333333333333334,1.0
7,llama4-maverick,observation,d2kg,True,125,125,0,5,1.0,0.75,6,0.8333333333333334,1.0
7,llama4-maverick,observation,d2kg-rag,True,100,100,0,5,1.0,0.5,5,0.6,0.6666666666666666
7,gpt-o1,observation,i2kg,True,94,94,0,5,1.0,0.75,5,0.8,1.0
7,gpt-o1,observation,d2kg,True,143,143,0,10,1.0,1.0,6,0.8333333333333334,1.0
7,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
7,gpt-4.1-nano,observation,i2kg,False,17,0,17,0,0.0,0.0,0,0.0,0.0
7,gpt-4.1-nano,observation,d2kg,False,33,0,33,0,0.0,0.0,0,0.0,0.0
7,gpt-4.1-nano,observation,d2kg-rag,True,63,63,0,14,0.0,0.0,9,0.0,0.0
7,llava-llama3,action,dpe,True,33,33,0,0,0.0,0.0,6,0.0,0.0
7,llava-llama3,action,i2kg,False,1,0,1,0,0.0,0.0,0,0.0,0.0
7,llava-llama3,action,d2kg,True,126,126,0,5,1.0,0.8333333333333334,9,0.8888888888888888,1.0
7,llava-llama3,action,d2kg-rag,True,45,45,0,4,1.0,0.6666666666666666,9,0.7777777777777778,0.875
7,llama4-scout,action,dpe,True,24,24,0,0,0.0,0.0,7,0.0,0.0
7,llama4-scout,action,i2kg,True,61,61,0,7,1.0,0.6666666666666666,7,0.8571428571428571,0.75
7,llama4-scout,action,d2kg,False,125,0,125,0,0.0,0.0,0,0.0,0.0
7,llama4-scout,action,d2kg-rag,True,120,120,0,5,1.0,0.6666666666666666,7,0.7142857142857143,0.625
7,llama4-maverick,action,dpe,True,17,17,0,0,0.0,0.0,4,0.0,0.0
7,llama4-maverick,action,i2kg,True,43,43,0,5,1.0,0.8333333333333334,8,0.875,0.875
7,llama4-maverick,action,d2kg,True,130,130,0,6,1.0,0.8333333333333334,8,0.875,0.875
7,llama4-maverick,action,d2kg-rag,True,147,147,0,5,1.0,0.8333333333333334,9,0.8888888888888888,1.0
7,gpt-o1,action,i2kg,True,108,108,0,7,1.0,0.8333333333333334,9,0.8888888888888888,1.0
7,gpt-o1,action,d2kg,True,303,303,0,7,1.0,0.8333333333333334,8,0.875,0.875
7,gpt-o1,action,d2kg-rag,True,178,178,0,4,0.0,0.0,6,0.0,0.0
7,gpt-4.1-nano,action,i2kg,True,39,39,0,6,1.0,0.8333333333333334,8,0.625,0.625
7,gpt-4.1-nano,action,d2kg,False,22,0,22,0,0.0,0.0,0,0.0,0.0
7,gpt-4.1-nano,action,d2kg-rag,False,13,0,13,0,0.0,0.0,0,0.0,0.0
8,llava-llama3,observation,dpe,True,16,16,0,0,0.0,0.0,2,0.0,0.0
8,llava-llama3,observation,i2kg,False,9,0,9,0,0.0,0.0,0,0.0,0.0
8,llava-llama3,observation,d2kg,False,58,0,58,0,0.0,0.0,0,0.0,0.0
8,llava-llama3,observation,d2kg-rag,True,99,99,0,3,1.0,0.75,5,0.6,0.6666666666666666
8,llama4-scout,observation,dpe,True,20,20,0,0,0.0,0.0,2,0.0,0.0
8,llama4-scout,observation,i2kg,False,49,0,49,0,0.0,0.0,0,0.0,0.0
8,llama4-scout,observation,d2kg,True,127,127,0,7,1.0,0.75,7,0.5714285714285714,1.0
8,llama4-scout,observation,d2kg-rag,True,105,105,0,6,0.8333333333333334,0.5,20,0.15,0.3333333333333333
8,llama4-maverick,observation,dpe,True,13,13,0,0,0.0,0.0,6,0.0,0.0
8,llama4-maverick,observation,i2kg,True,76,76,0,6,1.0,0.75,6,0.8333333333333334,1.0
8,llama4-maverick,observation,d2kg,True,81,81,0,4,1.0,0.5,7,0.8571428571428571,1.0
8,llama4-maverick,observation,d2kg-rag,True,96,96,0,6,0.8333333333333334,0.75,7,0.8571428571428571,1.0
8,gpt-o1,observation,i2kg,True,95,95,0,9,1.0,1.0,6,0.8333333333333334,1.0
8,gpt-o1,observation,d2kg,True,95,95,0,5,1.0,0.75,4,0.75,0.6666666666666666
8,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
8,gpt-4.1-nano,observation,i2kg,True,73,73,0,8,0.0,0.0,8,0.5,0.3333333333333333
8,gpt-4.1-nano,observation,d2kg,True,60,60,0,5,0.0,0.0,4,0.5,0.6666666666666666
8,gpt-4.1-nano,observation,d2kg-rag,False,25,0,25,0,0.0,0.0,0,0.0,0.0
8,llava-llama3,action,dpe,True,35,35,0,0,0.0,0.0,15,0.0,0.0
8,llava-llama3,action,i2kg,False,14,0,14,0,0.0,0.0,0,0.0,0.0
8,llava-llama3,action,d2kg,True,91,91,0,7,1.0,0.8333333333333334,8,0.875,0.875
8,llava-llama3,action,d2kg-rag,True,60,60,0,5,1.0,0.5,6,0.6666666666666666,0.5
8,llama4-scout,action,dpe,True,36,36,0,0,0.0,0.0,9,0.0,0.0
8,llama4-scout,action,i2kg,True,52,52,0,5,1.0,0.8333333333333334,6,0.8333333333333334,0.625
8,llama4-scout,action,d2kg,False,45,0,45,0,0.0,0.0,0,0.0,0.0
